Serving HTTP on 0.0.0.0 port 8000 ...
Traceback (most recent call last):
  File "/usr/lib/python2.7/runpy.py", line 162, in _run_module_as_main
    "__main__", fname, loader, pkg_name)
  File "/usr/lib/python2.7/runpy.py", line 72, in _run_code
    exec code in run_globals
  File "/usr/lib/python2.7/SimpleHTTPServer.py", line 220, in <module>
    test()
  File "/usr/lib/python2.7/SimpleHTTPServer.py", line 216, in test
    BaseHTTPServer.test(HandlerClass, ServerClass)
  File "/usr/lib/python2.7/BaseHTTPServer.py", line 599, in test
    httpd.serve_forever()
  File "/usr/lib/python2.7/SocketServer.py", line 225, in serve_forever
    r, w, e = select.select([self], [], [], poll_interval)
KeyboardInterrupt
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:21:15] "GET / HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:21:16] "GET /styles/bootstrap.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:21:16] "GET /styles/main.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:21:16] "GET /scripts/app.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:21:16] "GET /scripts/controllers/main.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:21:16] "GET /scripts/filters.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:21:16] "GET /views/main.html HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:21:16] "GET /favicon.ico HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:22:03] "GET / HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:22:03] "GET /styles/bootstrap.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:22:03] "GET /styles/main.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:22:03] "GET /scripts/app.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:22:03] "GET /scripts/controllers/main.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:22:03] "GET /scripts/filters.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:22:03] "GET /views/main.html HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:25:45] "GET / HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:25:45] "GET /styles/bootstrap.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:25:45] "GET /scripts/app.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:25:45] "GET /styles/main.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:25:45] "GET /scripts/filters.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:25:45] "GET /scripts/controllers/main.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:25:45] "GET /views/main.html HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:25:45] "GET /favicon.ico HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:25:56] "GET / HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:25:56] "GET /styles/bootstrap.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:25:56] "GET /styles/main.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:25:56] "GET /scripts/controllers/main.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:25:56] "GET /scripts/filters.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:25:56] "GET /scripts/app.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:25:57] "GET /views/main.html HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:08] "GET / HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:08] "GET /styles/bootstrap.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:08] "GET /styles/main.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:08] "GET /scripts/app.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:08] "GET /scripts/controllers/main.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:08] "GET /scripts/filters.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:08] "GET /views/main.html HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:28] "GET / HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:28] "GET /styles/bootstrap.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:28] "GET /styles/main.css HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:28] "GET /scripts/app.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:28] "GET /scripts/filters.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:28] "GET /scripts/controllers/main.js HTTP/1.1" 200 -
ip-192-168-237-1.ec2.internal - - [07/Sep/2013 23:26:28] "GET /views/main.html HTTP/1.1" 200 -
